,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24107,2017-01-01,1.6,0.6,5.3,0.0,97.0,200.0,3800.0
24108,2017-01-02,3.2,2.0,3.3,4.6,83.0,2800.0,32000.0
24109,2017-01-03,5.7,0.4,7.2,0.7,85.0,11000.0,25000.0
24110,2017-01-04,5.9,0.6,8.0,2.8,76.0,3900.0,22000.0
24111,2017-01-05,0.3,-0.1,3.0,6.2,79.0,15000.0,47000.0
24112,2017-01-06,-2.5,0.3,4.0,6.3,78.0,4800.0,25000.0
24113,2017-01-07,0.7,0.9,4.1,0.0,97.0,200.0,8000.0
24114,2017-01-08,4.4,0.0,1.5,0.2,92.0,300.0,25000.0
24115,2017-01-09,5.4,6.7,5.2,0.0,96.0,300.0,9000.0
24116,2017-01-10,5.7,1.3,3.8,2.3,92.0,8000.0,20000.0
24117,2017-01-11,7.2,0.5,10.2,2.9,78.0,3400.0,17000.0
24118,2017-01-12,5.3,16.9,7.1,1.5,81.0,2900.0,19000.0
24119,2017-01-13,3.7,8.9,8.4,2.0,78.0,2500.0,32000.0
24120,2017-01-14,2.5,6.8,5.4,2.7,82.0,3900.0,32000.0
24121,2017-01-15,1.1,-0.1,1.9,1.6,90.0,15000.0,20000.0
24122,2017-01-16,-0.8,0.0,2.1,6.8,88.0,500.0,32000.0
24123,2017-01-17,-3.5,-0.1,1.8,3.7,91.0,900.0,7000.0
24124,2017-01-18,-3.4,0.1,1.4,1.7,97.0,300.0,3300.0
24125,2017-01-19,-1.4,0.0,1.3,7.3,79.0,2700.0,42000.0
24126,2017-01-20,0.3,0.0,2.5,7.0,74.0,5000.0,47000.0
24127,2017-01-21,0.4,0.0,3.0,7.5,89.0,4300.0,22000.0
24128,2017-01-22,-1.6,0.0,1.3,7.5,91.0,100.0,9000.0
24129,2017-01-23,0.0,0.3,2.0,0.5,96.0,100.0,3700.0
24130,2017-01-24,1.3,0.1,2.0,2.1,97.0,200.0,9000.0
24131,2017-01-25,-0.9,0.0,3.0,0.0,88.0,1700.0,7000.0
24132,2017-01-26,-2.5,0.0,3.8,7.3,81.0,7000.0,12000.0
24133,2017-01-27,0.8,0.0,4.6,5.0,76.0,9000.0,19000.0
24134,2017-01-28,5.7,0.0,5.3,2.7,74.0,14000.0,23000.0
24135,2017-01-29,4.4,0.8,5.2,1.3,90.0,6000.0,17000.0
24136,2017-01-30,5.0,6.2,4.6,0.2,91.0,1400.0,20000.0
24137,2017-01-31,4.0,0.0,3.3,0.3,83.0,6000.0,25000.0
24138,2017-02-01,3.7,0.7,5.5,0.0,88.0,1100.0,18000.0
24139,2017-02-02,8.9,0.7,5.9,2.8,88.0,4200.0,24000.0
24140,2017-02-03,8.4,-0.1,4.1,1.7,85.0,10000.0,25000.0
24141,2017-02-04,5.4,9.6,3.3,0.8,92.0,2300.0,20000.0
24142,2017-02-05,4.0,0.3,2.2,0.3,93.0,200.0,11000.0
24143,2017-02-06,4.4,0.0,2.0,0.0,91.0,3500.0,12000.0
24144,2017-02-07,2.4,0.8,5.2,0.0,92.0,1900.0,7000.0
24145,2017-02-08,-0.1,0.2,6.4,0.0,89.0,2600.0,6000.0
24146,2017-02-09,-1.4,-0.1,6.0,0.0,82.0,5500.0,7000.0
24147,2017-02-10,-2.2,0.1,4.5,0.0,85.0,2100.0,7000.0
24148,2017-02-11,-0.4,6.0,5.4,0.1,90.0,300.0,4300.0
24149,2017-02-12,0.3,0.8,6.5,4.0,85.0,800.0,6000.0
24150,2017-02-13,1.6,0.0,6.1,8.7,77.0,4100.0,10000.0
24151,2017-02-14,3.7,0.0,3.9,8.7,69.0,7000.0,13000.0
24152,2017-02-15,6.8,0.2,3.6,8.1,77.0,6000.0,14000.0
24153,2017-02-16,6.2,0.0,5.2,2.6,92.0,1700.0,20000.0
24154,2017-02-17,6.9,0.1,5.0,0.0,91.0,500.0,20000.0
24155,2017-02-18,4.3,0.0,3.0,2.7,94.0,200.0,10000.0
24156,2017-02-19,6.4,0.3,5.0,3.6,90.0,2600.0,15000.0
24157,2017-02-20,9.1,2.4,7.1,0.7,93.0,1900.0,20000.0
24158,2017-02-21,9.1,1.3,6.5,6.9,84.0,2500.0,23000.0
24159,2017-02-22,8.9,14.6,9.7,0.0,91.0,3300.0,20000.0
24160,2017-02-23,7.7,9.4,12.7,0.6,85.0,3300.0,20000.0
24161,2017-02-24,4.4,0.1,5.0,7.2,79.0,11000.0,32000.0
24162,2017-02-25,5.8,1.7,7.4,0.3,82.0,9000.0,25000.0
24163,2017-02-26,8.7,1.3,8.0,0.0,88.0,2000.0,25000.0
24164,2017-02-27,8.3,6.7,8.9,0.2,83.0,8000.0,25000.0
24165,2017-02-28,4.4,3.3,7.8,2.7,85.0,4300.0,25000.0
24166,2017-03-01,6.1,3.2,4.8,3.4,86.0,4500.0,42000.0
24167,2017-03-02,6.3,4.8,9.0,2.4,81.0,5500.0,25000.0
24168,2017-03-03,5.8,0.1,4.8,1.6,81.0,9000.0,25000.0
24169,2017-03-04,8.6,3.2,4.2,1.0,86.0,8000.0,25000.0
24170,2017-03-05,6.8,3.6,7.0,4.4,85.0,11000.0,32000.0
24171,2017-03-06,5.9,2.5,2.2,4.4,89.0,4100.0,26000.0
