cluster_id,accident_count,center_lat,center_lon,lat_std,lon_std,year_range,avg_year,top_streets
117,1189,52.366644499088636,4.884808386679081,0.012518037230909293,0.026399879340186352,2022-2022,2022.0,"Ringweg-West (63), Ringweg-Zuid (41), Stadhouderskade (37)"
162,702,52.37193916678886,4.866020249574402,0.00924327204350207,0.021939156566969147,2021-2021,2021.0,"Ringweg-West (37), Haarlemmerweg (35), Kinkerstraat (26)"
151,534,52.37100980857465,4.8740545594444,0.006130579991621119,0.019956820024843062,2017-2017,2017.0,"Ringweg-West (56), Marnixstraat (24), Nassaukade (23)"
132,523,52.36706484079359,4.885007701774186,0.009017201732662032,0.013924147512477236,2015-2015,2015.0,"Stadhouderskade (37), Sarphatipark (35), Marnixstraat (21)"
105,510,52.366050729107236,4.89294147273818,0.011067698187361329,0.014550690881811513,2018-2018,2018.0,"Stadhouderskade (41), Haarlemmerweg (24), De Ruijterkade (24)"
1,404,52.30339319409682,4.967976432708791,0.013301093290034302,0.028392005305037063,2023-2023,2023.0,"Gaasperdammerweg (69), KP HOLENDRECHT (52), RYKSWG (38)"
8,298,52.308857010391996,4.971622926384542,0.010901728064691817,0.02560320289162622,2021-2021,2021.0,"Gaasperdammerweg (24), Bijlmerdreef (19), KP HOLENDRECHT (17)"
167,249,52.381112797667654,4.842851661311235,0.00658443546395522,0.005583283488098118,2023-2023,2023.0,"Ringweg-West (105), Haarlemmerweg (23), Bos en Lommerweg (19)"
12,233,52.31070268449925,4.960735819691724,0.009414635068182244,0.017371180323705653,2022-2022,2022.0,"Gaasperdammerweg (45), Bijlmerdreef (17), Gooiseweg (13)"
3,225,52.307001929652316,4.958475512023966,0.013178671130740716,0.011712542885941798,2019-2019,2019.0,"Gooiseweg (25), RYKSWG (24), Bijlmerdreef (23)"
150,218,52.355720290454315,4.8989882953981665,0.0032345667437174938,0.010276971524658523,2017-2017,2017.0,"Sarphatipark (76), Van Woustraat (24), Stadhouderskade (17)"
7,213,52.307595760625134,4.966871532388618,0.011106395396907056,0.02460356432338226,2020-2020,2020.0,"Gaasperdammerweg (26), Karspeldreef (16), Gooiseweg (13)"
158,211,52.369269294738196,4.886490217410383,0.00483377117489695,0.01100317014528008,2019-2019,2019.0,"Kinkerstraat (13), Rozengracht (11), Amstel (10)"
63,201,52.40362940845601,4.938329182638179,0.00915036498815534,0.017281941105705818,2021-2021,2021.0,"Ringweg-Noord (47), Nieuwe Leeuwarderweg (28), NOORD 16 (21)"
5,190,52.302234107043304,4.955850107076677,0.01295462626128314,0.013130466205016709,2017-2017,2017.0,"RYKSWG (46), KP HOLENDRECHT (14), Gooiseweg (11)"
6,186,52.30687645573206,4.957098267552976,0.011927932633311296,0.01308463936785619,2018-2018,2018.0,"KP HOLENDRECHT (24), Gooiseweg (21), Karspeldreef (12)"
101,176,52.33929373126791,4.863664099470803,0.003348582656781864,0.005945352054347388,2022-2022,2022.0,"Ringweg-Zuid (91), AMSTERDAM-OUD ZUID 8 (15), Amstelveenseweg (13)"
122,170,52.37809420283703,4.841411920003467,0.004404756888299257,0.010064272601889709,2020-2020,2020.0,"Ringweg-West (37), Burg De Vlugtlaan (16), Bos en Lommerweg (14)"
133,170,52.34053293326974,4.900128034929586,0.005797997576353016,0.012061859904823271,2023-2023,2023.0,"Ringweg-Zuid (77), Gooiseweg (22), Europaboulevard (9)"
160,165,52.35542060280448,4.898080854515534,0.001668151993467065,0.0069923535600252005,2016-2016,2016.0,"Sarphatipark (73), Stadhouderskade (21), Van Woustraat (12)"
168,164,52.372929271758125,4.893401280721114,0.003840782273351982,0.006497388924824393,2023-2023,2023.0,"Prins Hendrikkade (17), Rozengracht (12), Herengracht (11)"
161,159,52.354406611591465,4.895705076603448,0.0036862747964685793,0.011937731660703454,2021-2021,2021.0,"Ceintuurbaan (12), Van Woustraat (12), Weesperzijde (9)"
61,158,52.39783400690744,4.929187600672153,0.008503486028593021,0.012979558113496398,2018-2018,2018.0,"Ringweg-Noord (25), NOORD 16 (22), Nieuwe Leeuwarderweg (19)"
20,154,52.34338781870438,4.947770152314882,0.008466524424505678,0.01893991922185115,2018-2018,2018.0,"Ringweg-Oost (80), RYKSWG (12), AMSTERDAM-WATERGRAAFSMEER 13 (10)"
9,153,52.421551491911536,4.878678710283835,0.0035985074309954996,0.014018591800463909,2016-2016,2016.0,"Coentunnelweg (68), Ringweg-Noord (43), KP COENPLEIN (23)"
37,146,52.41823409741576,4.8679160249788245,0.0006967882646854505,0.00034263472559727543,2019-2019,2019.0,"Ringweg-West (118), Ringweg-Noord (28)"
2,144,52.305195932972566,4.957489313446258,0.013051942569406083,0.014524045927816497,2015-2015,2015.0,"RYKSWG (29), Bijlmerdreef (15), Burgemeester Stramanweg (10)"
89,143,52.40755987650762,4.938094871301475,0.0016893114897216178,0.004749995658995924,2019-2019,2019.0,"Ringweg-Noord (82), Nieuwe Leeuwarderweg (31), NOORD 16 (25)"
0,142,52.30773492691248,4.9585391867788555,0.011518615244564495,0.013637911271559758,2016-2016,2016.0,"RYKSWG (10), Gaasperdammerweg (9), Gooiseweg (8)"
13,137,52.41811921770545,4.867897146792779,0.0007574245597946174,0.0005176433116011469,2023-2023,2023.0,"Ringweg-West (101), Ringweg-Noord (34), Meteorenweg (1)"
48,137,52.340910156637484,4.949179823673909,0.004093678241484076,0.007544270470922523,2023-2023,2023.0,"Ringweg-Oost (94), RYKSWG (21), Gooiseweg (7)"
145,137,52.373691771300145,4.897692165443083,0.0014364805296844926,0.0027746806544631346,2014-2014,2014.0,"GOOIJERSTEEG (90), Prins Hendrikkade (20), Nieuwmarkt (6)"
27,136,52.42216904191376,4.878385923250374,0.00403411161623357,0.013901391995433564,2017-2017,2017.0,"Coentunnelweg (49), Ringweg-Noord (40), KP COENPLEIN (26)"
156,135,52.338296775952365,4.84180563343591,0.0009780738256705405,0.006255032836450322,2023-2023,2023.0,"Nieuwe Haagseweg (66), Ringweg-Zuid (32), Ringweg-West (30)"
42,135,52.341023216766914,4.949540184124668,0.003953034533780795,0.007385956080879306,2022-2022,2022.0,"Ringweg-Oost (87), RYKSWG (23), Middenweg (9)"
99,131,52.33721972078226,4.8638117339602305,0.0027177283665978957,0.00674081708754923,2021-2021,2021.0,"Ringweg-Zuid (86), AMSTERDAM-OUD ZUID 8 (19), Van Leijenberghlaan (9)"
30,130,52.405742579891225,4.855439701447683,0.003985813702971723,0.004423914271318151,2022-2022,2022.0,"Ringweg-West (98), Westrandweg (20), AMSTERDAM-HEMHAVENS 1 (4)"
163,129,52.365278392161464,4.8755248129322615,0.003415308539523004,0.007298598567197711,2016-2016,2016.0,"Stadhouderskade (21), Kinkerstraat (19), Overtoom (17)"
24,128,52.341155663576814,4.949799821347195,0.0035281432130912383,0.006954058733787001,2021-2021,2021.0,"Ringweg-Oost (87), RYKSWG (14), Middenweg (12)"
45,126,52.34063360207683,4.949201442082548,0.0035986815842650654,0.006672851012547386,2020-2020,2020.0,"Ringweg-Oost (95), RYKSWG (9), Middenweg (8)"
14,125,52.42287914389358,4.8792928128051996,0.0015785233379461024,0.008226092803491937,2023-2023,2023.0,"Ringweg-Noord (90), Coentunnelweg (12), A.DAM-TUINDORP-OOSTZAAN 18 (10)"
